mass_density 
0.865126 
1.52156 
1.79138 
1.57527 
0.963571 
0.96232 
0.934131 
0.905376 
0.862058 
0.826604 
0.796181 
0.752603 
0.702494 
0.633145 
0.552053 
0.499119 
0.441363 
0.377598 
0.292945 
0.222745 
0.164076 
0.1276 
0.102561 
