contacts_by_height 
0 
8 
4 
69 
7 
22 
16 
44 
27 
28 
29 
23 
25 
27 
17 
26 
24 
22 
18 
14 
10 
9 
18 
12 
9 
8 
11 
11 
8 
7 
6 
8 
7 
1 
2 
3 
1 
