contacts_by_height 
0 
0 
3 
39 
8 
13 
9 
17 
8 
14 
7 
14 
11 
7 
8 
13 
12 
9 
4 
13 
14 
12 
10 
8 
11 
11 
6 
14 
10 
11 
8 
8 
10 
8 
9 
10 
8 
4 
11 
8 
4 
10 
10 
7 
8 
5 
16 
9 
3 
7 
16 
7 
4 
5 
5 
8 
5 
7 
2 
5 
5 
4 
3 
6 
1 
4 
3 
3 
4 
1 
2 
3 
3 
2 
2 
3 
4 
0 
2 
2 
0 
0 
0 
0 
1 
0 
0 
1 
0 
0 
0 
0 
0 
0 
1 
