contacts_by_height 
0 
19 
12 
69 
11 
16 
18 
34 
32 
12 
17 
27 
22 
23 
11 
23 
20 
18 
20 
10 
17 
15 
13 
13 
14 
17 
8 
6 
9 
8 
8 
5 
2 
3 
2 
2 
