contacts_by_height 
0 
12 
9 
71 
14 
16 
21 
33 
22 
26 
24 
36 
21 
13 
22 
28 
22 
24 
26 
16 
14 
17 
15 
8 
10 
12 
10 
9 
7 
8 
6 
6 
0 
0 
1 
4 
0 
1 
1 
1 
