contacts_by_height 
0 
2 
0 
28 
4 
6 
4 
17 
14 
17 
7 
13 
10 
9 
8 
9 
9 
5 
14 
9 
7 
8 
14 
7 
7 
8 
9 
12 
5 
9 
10 
10 
13 
8 
9 
9 
10 
6 
15 
6 
9 
7 
7 
4 
14 
6 
6 
11 
9 
6 
8 
6 
2 
5 
12 
5 
6 
6 
4 
2 
7 
6 
5 
4 
1 
7 
3 
7 
4 
2 
5 
6 
10 
2 
5 
11 
11 
6 
2 
7 
6 
3 
4 
5 
3 
3 
2 
4 
5 
3 
2 
2 
1 
1 
2 
0 
4 
5 
0 
0 
0 
0 
0 
0 
0 
0 
0 
0 
1 
0 
1 
1 
0 
0 
0 
1 
2 
0 
1 
0 
1 
0 
0 
1 
