contacts_by_height 
0 
7 
1 
30 
3 
4 
13 
24 
14 
15 
10 
20 
13 
19 
17 
9 
16 
8 
9 
10 
19 
16 
17 
4 
23 
16 
11 
23 
17 
15 
13 
10 
9 
11 
23 
12 
10 
14 
19 
11 
13 
12 
17 
14 
15 
9 
12 
10 
12 
14 
11 
9 
11 
13 
15 
9 
8 
11 
12 
10 
7 
6 
9 
8 
1 
5 
5 
5 
2 
3 
1 
0 
2 
1 
0 
0 
1 
0 
0 
0 
0 
0 
1 
0 
0 
0 
0 
0 
0 
1 
