contacts_by_height 
0 
7 
9 
63 
7 
17 
17 
42 
29 
32 
28 
24 
30 
29 
19 
26 
26 
18 
16 
20 
11 
19 
14 
13 
13 
9 
10 
6 
6 
4 
8 
2 
0 
0 
0 
2 
2 
0 
3 
0 
1 
0 
0 
1 
