mass_density 
0.132002 
0.210682 
0.22153 
0.16386 
0.13298 
0.160924 
0.164274 
0.155082 
0.174908 
0.222241 
0.251268 
0.248879 
0.250301 
0.253062 
0.244175 
0.226702 
0.213123 
0.209653 
0.206641 
0.208778 
0.228416 
0.240188 
0.245578 
0.234585 
0.227717 
0.232182 
0.226333 
0.221184 
0.225891 
0.228464 
0.230641 
0.221711 
0.223117 
0.230954 
0.230746 
0.221698 
0.220048 
0.22379 
0.226303 
0.219281 
0.205353 
0.195298 
0.202714 
0.211028 
0.210787 
0.195034 
0.201239 
0.196644 
0.184526 
0.180475 
0.171452 
0.183296 
0.184148 
0.177823 
0.173753 
0.176996 
0.176105 
0.172527 
0.168929 
0.160125 
0.152612 
0.147364 
0.142363 
0.145218 
0.149189 
0.148989 
0.134457 
0.109703 
0.0994265 
0.100426 
0.101214 
0.0931769 
0.076804 
0.0633056 
0.0487537 
0.0405607 
0.0346577 
