mass_density 
7.72363e-09 
1.20567e-08 
1.29308e-08 
9.94583e-09 
5.40434e-09 
6.78007e-09 
7.33007e-09 
7.02912e-09 
6.08817e-09 
6.01784e-09 
5.96006e-09 
5.68925e-09 
5.27743e-09 
5.04805e-09 
5.223e-09 
5.10576e-09 
4.76459e-09 
4.10801e-09 
3.95459e-09 
4.17859e-09 
4.24153e-09 
4.07368e-09 
3.73344e-09 
3.73125e-09 
3.86986e-09 
4.00128e-09 
4.02382e-09 
4.14488e-09 
4.2281e-09 
4.18225e-09 
4.30543e-09 
4.34926e-09 
4.30673e-09 
4.19618e-09 
3.88367e-09 
3.60267e-09 
3.32919e-09 
3.15423e-09 
3.18738e-09 
3.23791e-09 
3.23104e-09 
3.16095e-09 
2.94049e-09 
2.78118e-09 
2.762e-09 
2.93086e-09 
3.04913e-09 
2.88846e-09 
2.57362e-09 
2.38051e-09 
2.53885e-09 
2.71385e-09 
2.72583e-09 
2.54625e-09 
2.31757e-09 
2.15236e-09 
2.0989e-09 
1.97018e-09 
1.85431e-09 
1.79559e-09 
1.81105e-09 
1.81472e-09 
1.76482e-09 
1.6945e-09 
1.63561e-09 
1.66175e-09 
1.67813e-09 
1.68298e-09 
1.6468e-09 
1.62775e-09 
1.68735e-09 
1.78226e-09 
1.79887e-09 
1.73891e-09 
1.52857e-09 
1.29199e-09 
1.10545e-09 
1.06575e-09 
1.16718e-09 
1.22217e-09 
1.17437e-09 
1.02589e-09 
9.24174e-10 
9.36796e-10 
9.37261e-10 
9.39211e-10 
9.16443e-10 
8.88267e-10 
8.56919e-10 
8.31763e-10 
8.27924e-10 
8.11193e-10 
7.81564e-10 
7.40251e-10 
7.13915e-10 
6.89805e-10 
6.38012e-10 
5.87936e-10 
5.17051e-10 
4.72307e-10 
4.32625e-10 
4.06057e-10 
3.82827e-10 
3.5349e-10 
3.50564e-10 
