orientation_density 
1.56335 
1.55287 
1.54445 
1.52197 
1.41873 
1.42799 
1.42802 
1.42058 
1.41101 
1.40877 
1.40875 
1.40104 
1.3954 
1.38408 
1.37705 
1.37623 
1.38489 
1.38705 
1.37937 
1.37303 
1.36821 
1.36271 
1.36255 
1.36804 
1.37529 
1.38257 
1.38381 
1.38731 
1.38565 
1.3781 
1.35935 
1.34158 
1.34311 
1.35277 
