contacts_by_height 
0 
11 
5 
76 
12 
16 
22 
49 
19 
22 
29 
31 
24 
20 
19 
27 
21 
23 
20 
31 
14 
22 
15 
12 
8 
13 
8 
6 
7 
1 
5 
4 
2 
0 
2 
0 
1 
